fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,0.05,Sentinel-2C L2A,2026-03-30_RGB.png,1.31
2026-03-30,ThermalFalseColor,0.05,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,1.32
2026-03-28,RGB,0.05,Sentinel-2B L2A,2026-03-28_RGB.png,1.22
2026-03-28,ThermalFalseColor,0.05,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,1.31
2026-03-25,RGB,0.07,Sentinel-2B L2A,2026-03-25_RGB.png,0.83
2026-03-25,ThermalFalseColor,0.07,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,1.15
2026-03-22,RGB,98.21,Sentinel-2A L2A,2026-03-22_RGB.png,0.0
2026-03-22,ThermalFalseColor,98.21,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.68
2026-03-20,RGB,99.75,Sentinel-2C L2A,2026-03-20_RGB.png,0.0
2026-03-20,ThermalFalseColor,99.75,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.46
2026-03-18,RGB,0.02,Sentinel-2B L2A,2026-03-18_RGB.png,1.03
2026-03-18,ThermalFalseColor,0.02,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,1.18
2026-03-15,ThermalFalseColor,83.18,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.52
2026-03-15,RGB,83.18,Sentinel-2B L2A,2026-03-15_RGB.png,0.02
2026-03-13,RGB,60.17,Sentinel-2C L2A,2026-03-13_RGB.png,0.83
2026-03-13,ThermalFalseColor,60.17,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.88
2026-03-12,RGB,0.05,Sentinel-2A L2A,2026-03-12_RGB.png,1.36
2026-03-12,ThermalFalseColor,0.05,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,1.25
2026-03-10,RGB,0.04,Sentinel-2C L2A,2026-03-10_RGB.png,1.36
2026-03-10,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,1.25
2026-03-08,RGB,26.51,Sentinel-2B L2A,2026-03-08_RGB.png,1.1
2026-03-08,ThermalFalseColor,26.51,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,1.05
2026-03-05,RGB,0.04,Sentinel-2B L2A,2026-03-05_RGB.png,1.35
2026-03-05,ThermalFalseColor,0.04,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,1.26
2026-03-03,ThermalFalseColor,1.26,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,1.23
2026-03-03,RGB,1.26,Sentinel-2C L2A,2026-03-03_RGB.png,1.23
2026-02-28,RGB,0.53,Sentinel-2C L2A,2026-02-28_RGB.png,1.35
2026-02-28,ThermalFalseColor,0.53,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,1.23
2026-02-26,RGB,13.4,Sentinel-2B L2A,2026-02-26_RGB.png,1.32
2026-02-26,ThermalFalseColor,13.4,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,1.26
2026-02-23,RGB,0.14,Sentinel-2B L2A,2026-02-23_RGB.png,1.34
2026-02-23,ThermalFalseColor,0.14,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,1.22
2026-02-21,RGB,27.92,Sentinel-2C L2A,2026-02-21_RGB.png,0.72
2026-02-21,ThermalFalseColor,27.92,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.81
2026-02-18,RGB,1.57,Sentinel-2C L2A,2026-02-18_RGB.png,1.35
2026-02-18,ThermalFalseColor,1.57,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,1.21
2026-02-16,ThermalFalseColor,0.03,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,1.26
2026-02-16,RGB,0.03,Sentinel-2B L2A,2026-02-16_RGB.png,1.32
2026-02-13,RGB,0.53,Sentinel-2B L2A,2026-02-13_RGB.png,1.34
2026-02-13,ThermalFalseColor,0.53,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,1.2
2026-02-11,RGB,48.99,Sentinel-2C L2A,2026-02-11_RGB.png,1.3
2026-02-11,ThermalFalseColor,48.99,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,1.24
2026-02-08,RGB,0.04,Sentinel-2C L2A,2026-02-08_RGB.png,1.34
2026-02-08,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,1.19
2026-02-06,RGB,0.64,Sentinel-2B L2A,2026-02-06_RGB.png,1.32
2026-02-06,ThermalFalseColor,0.64,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,1.25
2026-02-03,RGB,53.68,Sentinel-2B L2A,2026-02-03_RGB.png,0.73
2026-02-03,ThermalFalseColor,53.68,Sentinel-2B L2A,2026-02-03_ThermalFalseColor.png,0.73
2026-02-01,RGB,29.64,Sentinel-2C L2A,2026-02-01_RGB.png,1.2
2026-02-01,ThermalFalseColor,29.64,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,1.15
