fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-26,RGB,58.01,Sentinel-2C L2A,2026-03-26_RGB.png,0.7
2026-03-26,ThermalFalseColor,58.01,Sentinel-2C L2A,2026-03-26_ThermalFalseColor.png,0.62
2026-03-21,RGB,1.48,Sentinel-2B L2A,2026-03-21_RGB.png,0.99
2026-03-21,ThermalFalseColor,1.48,Sentinel-2B L2A,2026-03-21_ThermalFalseColor.png,0.77
2026-03-18,RGB,59.72,Sentinel-2A L2A,2026-03-18_RGB.png,0.77
2026-03-18,ThermalFalseColor,59.72,Sentinel-2A L2A,2026-03-18_ThermalFalseColor.png,0.58
2026-03-16,RGB,1.42,Sentinel-2C L2A,2026-03-16_RGB.png,1.01
2026-03-16,ThermalFalseColor,1.42,Sentinel-2C L2A,2026-03-16_ThermalFalseColor.png,0.78
2026-03-11,RGB,29.89,Sentinel-2B L2A,2026-03-11_RGB.png,0.91
2026-03-11,ThermalFalseColor,29.89,Sentinel-2B L2A,2026-03-11_ThermalFalseColor.png,0.71
2026-03-08,RGB,3.48,Sentinel-2A L2A,2026-03-08_RGB.png,1.01
2026-03-08,ThermalFalseColor,3.48,Sentinel-2A L2A,2026-03-08_ThermalFalseColor.png,0.78
2026-03-06,ThermalFalseColor,25.38,Sentinel-2C L2A,2026-03-06_ThermalFalseColor.png,0.75
2026-03-06,RGB,25.38,Sentinel-2C L2A,2026-03-06_RGB.png,0.98
2026-03-01,RGB,6.52,Sentinel-2B L2A,2026-03-01_RGB.png,0.98
2026-03-01,ThermalFalseColor,6.52,Sentinel-2B L2A,2026-03-01_ThermalFalseColor.png,0.77
2026-02-19,RGB,29.57,Sentinel-2B L2A,2026-02-19_RGB.png,0.96
2026-02-19,ThermalFalseColor,29.57,Sentinel-2B L2A,2026-02-19_ThermalFalseColor.png,0.76
2026-02-14,RGB,57.36,Sentinel-2C L2A,2026-02-14_RGB.png,0.43
2026-02-14,ThermalFalseColor,57.36,Sentinel-2C L2A,2026-02-14_ThermalFalseColor.png,0.49
2026-02-09,RGB,22.04,Sentinel-2B L2A,2026-02-09_RGB.png,0.68
2026-02-09,ThermalFalseColor,22.04,Sentinel-2B L2A,2026-02-09_ThermalFalseColor.png,0.6
2026-02-04,RGB,37.07,Sentinel-2C L2A,2026-02-04_RGB.png,0.89
2026-02-04,ThermalFalseColor,37.07,Sentinel-2C L2A,2026-02-04_ThermalFalseColor.png,0.71
2026-01-30,RGB,81.57,Sentinel-2B L2A,2026-01-30_RGB.png,0.53
2026-01-30,ThermalFalseColor,81.57,Sentinel-2B L2A,2026-01-30_ThermalFalseColor.png,0.54
