fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-06,RGB,13.59,Sentinel-2B,RGB/2026-02-06_RGB.png,1.09
2026-02-06,ThermalFalseColor,13.59,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,1.17
2026-02-03,RGB,97.18,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,97.18,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.0
2026-02-01,RGB,9.33,Sentinel-2B,RGB/2026-02-01_RGB.png,1.03
2026-02-01,ThermalFalseColor,9.33,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.16
2026-01-29,ThermalFalseColor,4.01,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,1.1
2026-01-29,RGB,4.01,Sentinel-2B,RGB/2026-01-29_RGB.png,0.96
2026-01-27,ThermalFalseColor,60.77,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.0
2026-01-27,RGB,60.77,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-24,RGB,15.66,Sentinel-2B,RGB/2026-01-24_RGB.png,0.81
2026-01-24,ThermalFalseColor,15.66,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.92
2026-01-22,RGB,36.26,Sentinel-2B,RGB/2026-01-22_RGB.png,1.07
2026-01-22,ThermalFalseColor,36.26,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.2
2026-01-19,RGB,2.74,Sentinel-2B,RGB/2026-01-19_RGB.png,0.94
2026-01-19,ThermalFalseColor,2.74,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,1.08
2026-01-17,RGB,6.05,Sentinel-2B,RGB/2026-01-17_RGB.png,1.05
2026-01-17,ThermalFalseColor,6.05,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.16
2026-01-12,RGB,99.24,Sentinel-2B,RGB/2026-01-12_RGB.png,0.0
2026-01-12,ThermalFalseColor,99.24,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.0
2026-01-11,RGB,40.29,Sentinel-2B,RGB/2026-01-11_RGB.png,1.02
2026-01-11,ThermalFalseColor,40.29,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,1.13
2026-01-09,ThermalFalseColor,0.07,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,1.08
2026-01-09,RGB,0.07,Sentinel-2B,RGB/2026-01-09_RGB.png,0.94
2026-01-07,RGB,0.0,Sentinel-2B,RGB/2026-01-07_RGB.png,0.89
2026-01-07,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.06
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.94
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,1.09
2026-01-02,RGB,0.2,Sentinel-2B,RGB/2026-01-02_RGB.png,0.9
2026-01-02,ThermalFalseColor,0.2,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.09
2025-12-30,ThermalFalseColor,65.39,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,0.0
2025-12-30,RGB,65.39,Sentinel-2B,RGB/2025-12-30_RGB.png,0.0
2025-12-28,ThermalFalseColor,3.16,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.08
2025-12-28,RGB,3.16,Sentinel-2B,RGB/2025-12-28_RGB.png,0.94
2025-12-25,RGB,6.85,Sentinel-2B,RGB/2025-12-25_RGB.png,0.97
2025-12-25,ThermalFalseColor,6.85,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,1.07
2025-12-23,RGB,87.03,Sentinel-2B,RGB/2025-12-23_RGB.png,0.0
2025-12-23,ThermalFalseColor,87.03,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.0
2025-12-22,RGB,77.81,Sentinel-2B,RGB/2025-12-22_RGB.png,0.0
2025-12-22,ThermalFalseColor,77.81,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.0
2025-12-20,ThermalFalseColor,99.94,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.0
2025-12-20,RGB,99.94,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-18,RGB,1.51,Sentinel-2B,RGB/2025-12-18_RGB.png,0.93
2025-12-18,ThermalFalseColor,1.51,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,1.08
2025-12-15,RGB,95.95,Sentinel-2B,RGB/2025-12-15_RGB.png,0.0
2025-12-15,ThermalFalseColor,95.95,Sentinel-2B,ThermalFalseColor/2025-12-15_ThermalFalseColor.png,0.0
2025-12-13,ThermalFalseColor,85.2,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.0
2025-12-13,RGB,85.2,Sentinel-2B,RGB/2025-12-13_RGB.png,0.0
