fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,0.0,Sentinel-2C L2A,2026-03-30_RGB.png,1.13
2026-03-30,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.7
2026-03-28,RGB,0.19,Sentinel-2B L2A,2026-03-28_RGB.png,0.97
2026-03-28,ThermalFalseColor,0.19,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.62
2026-03-25,RGB,0.81,Sentinel-2B L2A,2026-03-25_RGB.png,0.53
2026-03-25,ThermalFalseColor,0.81,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.47
2026-03-22,RGB,83.18,Sentinel-2A L2A,2026-03-22_RGB.png,0.01
2026-03-22,ThermalFalseColor,83.18,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.26
2026-03-20,RGB,62.35,Sentinel-2C L2A,2026-03-20_RGB.png,0.14
2026-03-20,ThermalFalseColor,62.35,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.32
2026-03-18,ThermalFalseColor,33.21,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.4
2026-03-18,RGB,33.21,Sentinel-2B L2A,2026-03-18_RGB.png,0.52
2026-03-15,RGB,99.98,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,99.98,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.26
2026-03-13,RGB,3.56,Sentinel-2C L2A,2026-03-13_RGB.png,0.73
2026-03-13,ThermalFalseColor,3.56,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.51
2026-03-12,RGB,13.19,Sentinel-2A L2A,2026-03-12_RGB.png,0.82
2026-03-12,ThermalFalseColor,13.19,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.56
2026-03-10,RGB,0.0,Sentinel-2C L2A,2026-03-10_RGB.png,0.76
2026-03-10,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.52
2026-03-08,RGB,16.53,Sentinel-2B L2A,2026-03-08_RGB.png,0.74
2026-03-08,ThermalFalseColor,16.53,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.51
2026-03-05,ThermalFalseColor,22.87,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.5
2026-03-05,RGB,22.87,Sentinel-2B L2A,2026-03-05_RGB.png,0.77
2026-03-03,ThermalFalseColor,10.49,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.51
2026-03-03,RGB,10.49,Sentinel-2C L2A,2026-03-03_RGB.png,0.75
2026-02-28,RGB,86.73,Sentinel-2C L2A,2026-02-28_RGB.png,0.03
2026-02-28,ThermalFalseColor,86.73,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.21
2026-02-26,RGB,6.93,Sentinel-2B L2A,2026-02-26_RGB.png,0.72
2026-02-26,ThermalFalseColor,6.93,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.49
2026-02-23,RGB,0.64,Sentinel-2B L2A,2026-02-23_RGB.png,0.75
2026-02-23,ThermalFalseColor,0.64,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.52
2026-02-21,RGB,6.42,Sentinel-2C L2A,2026-02-21_RGB.png,0.73
2026-02-21,ThermalFalseColor,6.42,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.51
2026-02-18,ThermalFalseColor,20.26,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.57
2026-02-18,RGB,20.26,Sentinel-2C L2A,2026-02-18_RGB.png,0.84
2026-02-16,RGB,0.0,Sentinel-2B L2A,2026-02-16_RGB.png,0.81
2026-02-16,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.53
2026-02-13,RGB,0.0,Sentinel-2B L2A,2026-02-13_RGB.png,0.98
2026-02-13,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.61
2026-02-11,RGB,70.47,Sentinel-2C L2A,2026-02-11_RGB.png,0.06
2026-02-11,ThermalFalseColor,70.47,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.21
2026-02-08,RGB,14.77,Sentinel-2C L2A,2026-02-08_RGB.png,0.77
2026-02-08,ThermalFalseColor,14.77,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,0.52
2026-02-06,RGB,0.04,Sentinel-2B L2A,2026-02-06_RGB.png,0.73
2026-02-06,ThermalFalseColor,0.04,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.49
